accuracy,article_token_hit_rate,byte_hit_rate,cache_bytes_peak,dequant_mean_s,evictions,full_document_hit_rate,kind,label,policy,policy_mean_s,quality_hard_accuracy,reference_label_agreement,requests,run,short_label,storage,strategy,ttft_mean_s,ttft_p50_s,ttft_p95_s,workload
0.51,0.0,0.0,0,0.0,0,0.0,full,Full uncached FP16,none,0.0,0.35714285714285715,1.0,100,01_uncached_random_fp16,Full,accelerator-fp16,none,6.071809354659993,6.691952415999992,8.986808050950009,random
0.51,0.0,0.0,0,0.0,0,0.0,segmented,"Segmented, no document cache",none,0.0,0.35714285714285715,1.0,100,01b_segmented_uncached_random_fp16,Segmented,accelerator-fp16,none,1.942116900230003,2.118692424999608,2.7253178734002628,random
0.51,0.20310601099305683,0.20310601099305683,4294893568,0.0,56,0.19,cache,Document LRU FP16,lru,0.00017848026000251592,0.35714285714285715,1.0,100,02_document_lru_random_fp16_4gib,Document FP16,accelerator-fp16,document,1.6338638861799994,2.06291051900007,2.6962628706000253,random
0.51,0.20302292772407232,0.20302292772407232,4294836224,0.0,21169,0.0,cache,Fixed-block LRU FP16,lru,0.1410499980399868,0.35714285714285715,1.0,100,03_fixed_block_lru_random_fp16_4gib,Fixed block FP16,accelerator-fp16,fixed-block,2.334614629320015,2.764394935499922,3.7261661207999963,random
0.51,0.20256189703539348,0.20256189703539348,4294664192,0.0,58,0.19,cache,Radix LRU FP16,lru,0.002477470959997845,0.35714285714285715,1.0,100,04_radix_lru_random_fp16_4gib,Radix FP16,accelerator-fp16,radix,1.6347460164200107,2.08869104900009,2.7023222604500456,random
0.5,0.32703692481127067,0.3270368380786603,4294127936,0.03851624675999801,19,0.31,cache,Document LRU CPU INT8,lru,0.00022378393001190488,0.3392857142857143,0.99,100,05_document_lru_random_int8_4gib,Document INT8,cpu-int8,document,1.4563382301299816,1.6939624739999317,2.7826371973000046,random
0.62,0.0,0.0,0,0.0,0,0.0,full,Full uncached FP16,none,0.0,0.5535714285714286,1.0,100,06_uncached_zipf_fp16,Full,accelerator-fp16,none,6.2413931901500135,6.410250482499919,8.139133000350217,zipf
0.6,0.0,0.0,0,0.0,0,0.0,segmented,"Segmented, no document cache",none,0.0,0.5178571428571429,0.98,100,06b_segmented_uncached_zipf_fp16,Segmented,accelerator-fp16,none,2.0966562766800507,2.1423205549995146,2.523099693900531,zipf
0.6,0.5592926884650318,0.5592926884650318,4249104384,0.0,20,0.55,cache,Document LRU FP16,lru,8.247961000051873e-05,0.5178571428571429,0.98,100,07_document_lru_zipf_fp16_4gib,Document LRU,accelerator-fp16,document,0.9566153959700113,0.06427988699988418,2.5232051890501226,zipf
0.6,0.5587029468160258,0.5587029468160258,4285431808,0.0,22,0.55,cache,Document GDSF FP16,gdsf,8.734741001717339e-05,0.5178571428571429,0.98,100,08_document_gdsf_zipf_fp16_4gib,Document GDSF,accelerator-fp16,document,0.9587343331500233,0.06457112900011452,2.52544077115017,zipf
